   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.2661       2.95921       3.88648       2.94488       3.87947      0.143245E-01  0.700724E-02   6.82435       1.71199       1.71085       1.55574       1.23289      0.612883       0.00000    
  0.109648E-03   36.2690       2.88928       3.79237       2.87413       3.78493      0.151557E-01  0.744243E-02   6.65906       1.67270       1.67147       1.51897       1.20143      0.594481       0.00000    
  0.120226E-03   35.3040       2.82144       3.70109       2.80537       3.69317      0.160640E-01  0.792111E-02   6.49854       1.63451       1.63320       1.48324       1.17086      0.576732       0.00000    
  0.131825E-03   34.3520       2.75444       3.61095       2.73743       3.60253      0.170072E-01  0.841958E-02   6.33997       1.59677       1.59537       1.44792       1.14066      0.559246       0.00000    
  0.144543E-03   33.4185       2.68866       3.52246       2.67066       3.51351      0.180004E-01  0.894637E-02   6.18417       1.55968       1.55818       1.41319       1.11098      0.542137       0.00000    
  0.158489E-03   32.5100       2.62453       3.43617       2.60546       3.42666      0.190688E-01  0.951616E-02   6.03211       1.52345       1.52184       1.37928       1.08201      0.525534       0.00000    
  0.173779E-03   31.6138       2.56120       3.35098       2.54102       3.34087      0.201763E-01  0.101083E-01   5.88189       1.48764       1.48593       1.34576       1.05338      0.509179       0.00000    
  0.190545E-03   30.7409       2.49943       3.26786       2.47807       3.25711      0.213626E-01  0.107458E-01   5.73519       1.45266       1.45082       1.31299       1.02542      0.493298       0.00000    
  0.208928E-03   29.8861       2.43888       3.18636       2.41626       3.17494      0.226170E-01  0.114227E-01   5.59120       1.41830       1.41634       1.28082      0.997965      0.477781       0.00000    
  0.229085E-03   29.0431       2.37911       3.10591       2.35520       3.09378      0.239157E-01  0.121252E-01   5.44898       1.38435       1.38226       1.24902      0.970847      0.462501       0.00000    
  0.251186E-03   28.2277       2.32123       3.02794       2.29589       3.01504      0.253310E-01  0.128957E-01   5.31094       1.35137       1.34914       1.21813      0.944520      0.447780       0.00000    
  0.275420E-03   27.4242       2.26415       2.95103       2.23734       2.93733      0.268015E-01  0.136986E-01   5.17468       1.31881       1.31643       1.18761      0.918530      0.433295       0.00000    
  0.301992E-03   26.6365       2.20815       2.87556       2.17980       2.86101      0.283465E-01  0.145452E-01   5.04081       1.28681       1.28426       1.15762      0.892992      0.419129       0.00000    
  0.331127E-03   25.8711       2.15370       2.80210       2.12369       2.78664      0.300084E-01  0.154609E-01   4.91033       1.25560       1.25287       1.12835      0.868095      0.405410       0.00000    
  0.363073E-03   25.1164       2.10000       2.72961       2.06827       2.71320      0.317300E-01  0.164119E-01   4.78147       1.22476       1.22186       1.09944      0.843504      0.391905       0.00000    
  0.398101E-03   24.3817       2.04770       2.65895       2.01413       2.64152      0.335690E-01  0.174328E-01   4.65565       1.19464       1.19154       1.07118      0.819492      0.378802       0.00000    
  0.436509E-03   23.6633       1.99656       2.58977       1.96104       2.57126      0.355137E-01  0.185170E-01   4.53230       1.16510       1.16179       1.04345      0.795946      0.366022       0.00000    
  0.478622E-03   22.9551       1.94614       2.52153       1.90861       2.50189      0.375259E-01  0.196417E-01   4.41051       1.13592       1.13239       1.01606      0.772697      0.353447       0.00000    
  0.524798E-03   22.2708       1.89744       2.45549       1.85773       2.43462      0.397111E-01  0.208708E-01   4.29235       1.10759       1.10382      0.989448      0.750136      0.341345       0.00000    
  0.575429E-03   21.5971       1.84952       2.39043       1.80753       2.36828      0.419827E-01  0.221522E-01   4.17581       1.07965       1.07563      0.963190      0.727885      0.329455       0.00000    
  0.630945E-03   20.9368       1.80258       2.32662       1.75821       2.30312      0.443631E-01  0.234997E-01   4.06133       1.05219       1.04791      0.937376      0.706024      0.317832       0.00000    
  0.691816E-03   20.2963       1.75711       2.26465       1.71018       2.23970      0.469219E-01  0.249564E-01   3.94988       1.02544       1.02088      0.912214      0.684738      0.306601       0.00000    
  0.758561E-03   19.6651       1.71233       2.20356       1.66276       2.17709      0.495700E-01  0.264679E-01   3.83985      0.999038      0.994179      0.887360      0.663724      0.295554       0.00000    
  0.831745E-03   19.0511       1.66885       2.14408       1.61646       2.11599      0.523898E-01  0.280851E-01   3.73245      0.973253      0.968077      0.863071      0.643209      0.284845       0.00000    
  0.911989E-03   18.4514       1.62648       2.08596       1.57111       2.05616      0.553700E-01  0.298017E-01   3.62727      0.947993      0.942480      0.839259      0.623115      0.274419       0.00000    
  0.999975E-03   17.8606       1.58479       2.02869       1.52634       1.99710      0.584506E-01  0.315807E-01   3.52344      0.923059      0.917195      0.815741      0.603280      0.264168       0.00000    
  0.109645E-02   17.2902       1.54469       1.97335       1.48291       1.93984      0.617824E-01  0.335165E-01   3.42275      0.898869      0.892624      0.792897      0.584042      0.254317       0.00000    
  0.120223E-02   16.7292       1.50536       1.91894       1.44011       1.88341      0.652450E-01  0.355345E-01   3.32352      0.875032      0.868388      0.770369      0.565083      0.244652       0.00000    
  0.131822E-02   16.1796       1.46693       1.86562       1.39807       1.82797      0.688628E-01  0.376500E-01   3.22604      0.851611      0.844549      0.748216      0.546457      0.235209       0.00000    
  0.144540E-02   15.6474       1.42992       1.81400       1.35718       1.77407      0.727450E-01  0.399330E-01   3.13125      0.828836      0.821323      0.726641      0.528343      0.226105       0.00000    
  0.158485E-02   15.1232       1.39358       1.76317       1.31682       1.72087      0.767570E-01  0.422985E-01   3.03769      0.806358      0.798378      0.705332      0.510465      0.217158       0.00000    
  0.173775E-02   14.6134       1.35844       1.71375       1.27743       1.66894      0.810118E-01  0.448187E-01   2.94637      0.784418      0.775941      0.684502      0.493013      0.208493       0.00000    
  0.190540E-02   14.1163       1.32439       1.66561       1.23889       1.61812      0.855018E-01  0.474898E-01   2.85700      0.762952      0.753949      0.664093      0.475936      0.200073       0.00000    
  0.208923E-02   13.6268       1.29099       1.61822       1.20086       1.56796      0.901356E-01  0.502534E-01   2.76882      0.741772      0.732224      0.643938      0.459083      0.191802       0.00000    
  0.229079E-02   13.1545       1.25909       1.57256       1.16397       1.51932      0.951200E-01  0.532434E-01   2.68329      0.721237      0.711102      0.624351      0.442738      0.183864       0.00000    
  0.251180E-02   12.6905       1.22796       1.52776       1.12766       1.47141      0.100294      0.563568E-01   2.59907      0.701019      0.690274      0.605044      0.426642      0.176088       0.00000    
  0.275413E-02   12.2359       1.19766       1.48393       1.09198       1.42432      0.105680      0.596077E-01   2.51630      0.681156      0.669776      0.586049      0.410825      0.168495       0.00000    
  0.301984E-02   11.7964       1.16876       1.44166       1.05732       1.37856      0.111438      0.631027E-01   2.43588      0.661866      0.649807      0.567556      0.395457      0.161193       0.00000    
  0.331118E-02   11.3637       1.14050       1.40010       1.02312       1.33338      0.117376      0.667151E-01   2.35651      0.642833      0.630075      0.549287      0.380290      0.154023       0.00000    
