   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.5307       2.97738       3.91113       2.96468       3.90624      0.126985E-01  0.488960E-02   6.87092       1.72406       1.72299       1.56644       1.24062      0.616809       0.00000    
  0.109648E-03   36.5222       2.90685       3.81639       2.89340       3.81118      0.134596E-01  0.521230E-02   6.70457       1.68463       1.68348       1.52945       1.20877      0.598242       0.00000    
  0.120226E-03   35.5463       2.83843       3.72448       2.82413       3.71891      0.142939E-01  0.556955E-02   6.54305       1.64631       1.64508       1.49350       1.17783      0.580337       0.00000    
  0.131825E-03   34.5836       2.77085       3.63372       2.75569       3.62778      0.151614E-01  0.594264E-02   6.38347       1.60843       1.60711       1.45797       1.14726      0.562700       0.00000    
  0.144543E-03   33.6397       2.70451       3.54461       2.68843       3.53827      0.160765E-01  0.633841E-02   6.22670       1.57120       1.56979       1.42304       1.11723      0.545445       0.00000    
  0.158489E-03   32.7212       2.63982       3.45771       2.62276       3.45094      0.170634E-01  0.676884E-02   6.07370       1.53483       1.53332       1.38892       1.08792      0.528705       0.00000    
  0.173779E-03   31.8151       2.57595       3.37190       2.55786       3.36468      0.180877E-01  0.721740E-02   5.92254       1.49889       1.49727       1.35520       1.05897      0.512215       0.00000    
  0.190545E-03   30.9328       2.51365       3.28818       2.49446       3.28048      0.191874E-01  0.770276E-02   5.77493       1.46376       1.46203       1.32224       1.03070      0.496207       0.00000    
  0.208928E-03   30.0688       2.45257       3.20607       2.43221       3.19785      0.203526E-01  0.822036E-02   5.63007       1.42927       1.42741       1.28987       1.00295      0.480569       0.00000    
  0.229085E-03   29.2168       2.39228       3.12502       2.37072       3.11626      0.215604E-01  0.875902E-02   5.48698       1.39518       1.39320       1.25789      0.975540      0.465171       0.00000    
  0.251186E-03   28.3930       2.33389       3.04645       2.31101       3.03710      0.228806E-01  0.935369E-02   5.34811       1.36207       1.35995       1.22681      0.948944      0.450340       0.00000    
  0.275420E-03   27.5812       2.27632       2.96895       2.25207       2.95897      0.242543E-01  0.997535E-02   5.21104       1.32937       1.32710       1.19612      0.922693      0.435750       0.00000    
  0.301992E-03   26.7855       2.21984       2.89288       2.19414       2.88224      0.257000E-01  0.106333E-01   5.07638       1.29723       1.29480       1.16595      0.896907      0.421483       0.00000    
  0.331127E-03   26.0125       2.16492       2.81882       2.13766       2.80747      0.272593E-01  0.113492E-01   4.94513       1.26588       1.26328       1.13652      0.871779      0.407670       0.00000    
  0.363073E-03   25.2504       2.11075       2.74574       2.08187       2.73365      0.288766E-01  0.120948E-01   4.81552       1.23491       1.23213       1.10744      0.846965      0.394075       0.00000    
  0.398101E-03   24.5087       2.05800       2.67449       2.02739       2.66159      0.306084E-01  0.128995E-01   4.68898       1.20465       1.20168       1.07902      0.822744      0.380887       0.00000    
  0.436509E-03   23.7835       2.00641       2.60471       1.97397       2.59095      0.324434E-01  0.137581E-01   4.56492       1.17497       1.17179       1.05113      0.799004      0.368028       0.00000    
  0.478622E-03   23.0688       1.95556       2.53588       1.92121       2.52122      0.343445E-01  0.146512E-01   4.44244       1.14565       1.14226       1.02359      0.775568      0.355377       0.00000    
