 First iteration    1370.6027174515568             1130   1.2129227588066875     
After minimisation    1363.79  1130     1.207

  Partial chi2s 
Dataset    1    455.54   377  HERA1+2 NCep 920                                
Dataset    2     68.14    70  HERA1+2 NCep 820                                
Dataset    3    229.66   254  HERA1+2 NCep 575                                
Dataset    4    221.84   204  HERA1+2 NCep 460                                
Dataset    5    211.13   159  HERA1+2 NCem                                    
Dataset    6     44.59    39  HERA1+2 CCep                                    
Dataset    7     47.17    42  HERA1+2 CCem                                    

 Correlated Chi2    85.719131282075168     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   84  sysHZComb1084                          0.2461   +/-   0.9672        :N:M:D
   85  sysHZComb1085                         -0.0186   +/-   0.8670        :N:M:D
   86  sysHZComb1086                         -0.1451   +/-   0.7905        :N:M:D
   87  sysHZComb1087                         -0.4726   +/-   0.8573        :N:M:D
   88  sysHZComb1088                          0.2003   +/-   0.9909        :N:M:D
   89  sysHZComb1089                         -0.1781   +/-   0.9606        :N:M:D
   90  sysHZComb1090                          0.4959   +/-   0.9421        :N:M:D
   91  sysHZComb1091                          0.6225   +/-   0.8860        :N:M:D
   92  sysHZComb1092                          0.5916   +/-   0.8085        :N:M:D
   93  sysHZComb1093                          0.1627   +/-   0.7885        :N:M:D
   94  sysHZComb1094                          0.0633   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.3040   +/-   0.8433        :N:M:D
   96  sysHZComb1096                          0.2546   +/-   0.8929        :N:M:D
   97  sysHZComb1097                          0.3595   +/-   0.9880        :N:M:D
   98  sysHZComb1098                          1.3674   +/-   0.7323        :N:M:D
   99  sysHZComb1099                         -1.1641   +/-   0.6809        :N:M:D
  100  sysHZComb1100                         -0.7737   +/-   0.6859        :N:M:D
  101  sysHZComb1101                         -0.7137   +/-   0.7694        :N:M:D
  102  sysHZComb1102                         -0.5079   +/-   0.9009        :N:M:D
  103  sysHZComb1103                          0.4600   +/-   0.7893        :N:M:D
  104  sysHZComb1104                         -1.3710   +/-   0.7928        :N:M:D
  105  sysHZComb1105                          1.2960   +/-   0.6926        :N:M:D
  106  sysHZComb1106                         -0.5061   +/-   0.7718        :N:M:D
  107  sysHZComb1107                          0.5577   +/-   0.7414        :N:M:D
  108  sysHZComb1108                          1.3333   +/-   0.6765        :N:M:D
  109  sysHZComb1109                          0.3490   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.7386   +/-   0.7010        :N:M:D
  111  sysHZComb1111                         -1.6531   +/-   0.5502        :N:M:D
  112  sysHZComb1112                          0.4638   +/-   0.9904        :N:M:D
  113  sysHZComb1113                          1.2983   +/-   0.8440        :N:M:D
