   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.7180       6.40326       9.08259       6.38577       9.07547      0.174828E-01  0.712247E-02   15.4612       3.42307       3.42163       3.27276       2.96270       2.38107       0.00000    
  0.109648E-03   80.6296       6.20023       8.78833       6.18174       8.78076      0.184892E-01  0.757028E-02   14.9625       3.31747       3.31593       3.16945       2.86427       2.29537       0.00000    
  0.120226E-03   77.6889       6.00580       8.50662       5.98621       8.49856      0.195873E-01  0.806316E-02   14.4848       3.21621       3.21456       3.07042       2.77000       2.21358       0.00000    
  0.131825E-03   74.8070       5.81480       8.22993       5.79407       8.22135      0.207267E-01  0.857655E-02   14.0154       3.11668       3.11492       2.97308       2.67739       2.13335       0.00000    
  0.144543E-03   72.0093       5.62873       7.96042       5.60680       7.95130      0.219253E-01  0.911931E-02   13.5581       3.01963       3.01776       2.87819       2.58717       2.05535       0.00000    
  0.158489E-03   69.3232       5.44922       7.70048       5.42601       7.69077      0.232126E-01  0.970663E-02   13.1168       2.92589       2.92389       2.78656       2.50012       1.98032       0.00000    
  0.173779E-03   66.6912       5.27291       7.44518       5.24837       7.43487      0.245460E-01  0.103172E-01   12.6832       2.83376       2.83163       2.69651       2.41461       1.90673       0.00000    
  0.190545E-03   64.1621       5.10270       7.19875       5.07673       7.18778      0.259721E-01  0.109746E-01   12.2645       2.74469       2.74242       2.60947       2.33204       1.83589       0.00000    
  0.208928E-03   61.7113       4.93715       6.95909       4.90968       6.94741      0.274778E-01  0.116729E-01   11.8571       2.65796       2.65554       2.52474       2.25171       1.76713       0.00000    
  0.229085E-03   59.3112       4.77463       6.72381       4.74560       6.71141      0.290355E-01  0.123978E-01   11.4570       2.57276       2.57018       2.44150       2.17284       1.69974       0.00000    
  0.251186E-03   57.0291       4.61920       6.49879       4.58847       6.48560      0.307293E-01  0.131930E-01   11.0741       2.49110       2.48835       2.36174       2.09737       1.63550       0.00000    
  0.275420E-03   54.7964       4.46675       6.27809       4.43426       6.26407      0.324873E-01  0.140217E-01   10.6983       2.41094       2.40801       2.28346       2.02332       1.57260       0.00000    
  0.301992E-03   52.6300       4.31832       6.06319       4.28399       6.04830      0.343317E-01  0.148956E-01   10.3323       2.33279       2.32967       2.20715       1.95120       1.51148       0.00000    
  0.331127E-03   50.5558       4.17551       5.85637       4.13919       5.84053      0.363115E-01  0.158410E-01   9.97973       2.25743       2.25411       2.13359       1.88176       1.45283       0.00000    
