   10.0000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   13.4269       1.32773       1.65913       1.31878       1.65602      0.895122E-02  0.310338E-02   2.97480      0.909944      0.909263      0.746759      0.408832       0.00000       0.00000    
  0.109648E-03   13.2238       1.30556       1.63131       1.29605       1.62799      0.951350E-02  0.332189E-02   2.92404      0.894689      0.893958      0.734032      0.401361       0.00000       0.00000    
  0.120226E-03   13.0230       1.28383       1.60401       1.27370       1.60044      0.101331E-01  0.356566E-02   2.87414      0.879714      0.878927      0.721518      0.393983       0.00000       0.00000    
  0.131825E-03   12.8233       1.26228       1.57692       1.25150       1.57310      0.107790E-01  0.382111E-02   2.82459      0.864853      0.864007      0.709090      0.386643       0.00000       0.00000    
  0.144543E-03   12.6250       1.24098       1.55013       1.22951       1.54603      0.114623E-01  0.409329E-02   2.77555      0.850157      0.849248      0.696786      0.379358       0.00000       0.00000    
  0.158489E-03   12.4286       1.22004       1.52375       1.20783       1.51936      0.122028E-01  0.439127E-02   2.72719      0.835684      0.834707      0.684653      0.372150       0.00000       0.00000    
  0.173779E-03   12.2333       1.19928       1.49758       1.18630       1.49287      0.129730E-01  0.470282E-02   2.67918      0.821322      0.820272      0.672602      0.364980       0.00000       0.00000    
  0.190545E-03   12.0399       1.17886       1.47180       1.16506       1.46676      0.138036E-01  0.504203E-02   2.63182      0.807173      0.806044      0.660714      0.357885       0.00000       0.00000    
  0.208928E-03   11.8481       1.15873       1.44633       1.14404       1.44093      0.146870E-01  0.540569E-02   2.58497      0.793191      0.791977      0.648952      0.350850       0.00000       0.00000    
  0.229085E-03   11.6572       1.13878       1.42107       1.12317       1.41529      0.156047E-01  0.578534E-02   2.53846      0.779317      0.778015      0.637272      0.343853       0.00000       0.00000    
  0.251186E-03   11.4688       1.11927       1.39630       1.10265       1.39009      0.166136E-01  0.620788E-02   2.49275      0.765703      0.764302      0.625789      0.336952       0.00000       0.00000    
  0.275420E-03   11.2814       1.09996       1.37174       1.08229       1.36509      0.176664E-01  0.665130E-02   2.44738      0.752201      0.750697      0.614390      0.330091       0.00000       0.00000    
  0.301992E-03   11.0954       1.08091       1.34746       1.06214       1.34034      0.187780E-01  0.712280E-02   2.40248      0.738850      0.737235      0.603106      0.323287       0.00000       0.00000    
  0.331127E-03   10.9116       1.06226       1.32360       1.04228       1.31596      0.199833E-01  0.763955E-02   2.35824      0.725714      0.723978      0.591984      0.316565       0.00000       0.00000    
  0.363073E-03   10.7287       1.04380       1.29994       1.02256       1.29176      0.212366E-01  0.817974E-02   2.31433      0.712682      0.710820      0.580941      0.309882       0.00000       0.00000    
  0.398101E-03   10.5477       1.02571       1.27666       1.00312       1.26790      0.225851E-01  0.876653E-02   2.27102      0.699848      0.697848      0.570047      0.303275       0.00000       0.00000    
  0.436509E-03   10.3683       1.00793       1.25370      0.983906       1.24430      0.240201E-01  0.939634E-02   2.22821      0.687175      0.685028      0.559274      0.296731       0.00000       0.00000    
  0.478622E-03   10.1899      0.990342       1.23093      0.964832       1.22088      0.255105E-01  0.100537E-01   2.18571      0.674605      0.672303      0.548578      0.290227       0.00000       0.00000    
  0.524798E-03   10.0139      0.973240       1.20865      0.946095       1.19787      0.271446E-01  0.107834E-01   2.14396      0.662276      0.659803      0.538062      0.283819       0.00000       0.00000    
  0.575429E-03   9.83902      0.956363       1.18658      0.927512       1.17503      0.288511E-01  0.115502E-01   2.10254      0.650057      0.647403      0.527629      0.277455       0.00000       0.00000    
  0.630945E-03   9.66547      0.939773       1.16479      0.909124       1.15243      0.306490E-01  0.123637E-01   2.06155      0.637977      0.635132      0.517298      0.271146       0.00000       0.00000    
  0.691816E-03   9.49400      0.923626       1.14343      0.891027       1.13017      0.325988E-01  0.132559E-01   2.02120      0.626105      0.623050      0.507121      0.264922       0.00000       0.00000    
  0.758561E-03   9.32350      0.907695       1.12226      0.873070       1.10807      0.346253E-01  0.141882E-01   1.98114      0.614331      0.611056      0.497016      0.258739       0.00000       0.00000    
