   8317.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   86.3304       6.60776       9.38977       6.58845       9.38149      0.193020E-01  0.827994E-02   15.9699       3.52304       3.52147       3.37355       3.06541       2.48646       0.00000    
  0.109648E-03   83.1104       6.39615       9.08246       6.37577       9.07368      0.203795E-01  0.878260E-02   15.4494       3.41313       3.41145       3.26592       2.96264       2.39631       0.00000    
  0.120226E-03   80.0462       6.19357       8.78839       6.17202       8.77905      0.215518E-01  0.933382E-02   14.9511       3.30777       3.30598       3.16277       2.86425       2.31030       0.00000    
  0.131825E-03   77.0440       5.99461       8.49960       5.97184       8.48969      0.227668E-01  0.990705E-02   14.4615       3.20424       3.20233       3.06142       2.76761       2.22595       0.00000    
  0.144543E-03   74.1305       5.80082       8.21837       5.77678       8.20786      0.240427E-01  0.105118E-01   13.9846       3.10331       3.10127       2.96263       2.67347       2.14396       0.00000    
  0.158489E-03   71.3346       5.61395       7.94723       5.58854       7.93606      0.254099E-01  0.111641E-01   13.5246       3.00585       3.00368       2.86727       2.58268       2.06511       0.00000    
  0.173779E-03   68.5957       5.43042       7.68098       5.40360       7.66914      0.268243E-01  0.118411E-01   13.0727       2.91009       2.90777       2.77357       2.49351       1.98780       0.00000    
  0.190545E-03   65.9652       5.25331       7.42406       5.22498       7.41150      0.283336E-01  0.125681E-01   12.6365       2.81754       2.81508       2.68304       2.40743       1.91338       0.00000    
  0.208928E-03   63.4170       5.08110       7.17428       5.05117       7.16094      0.299244E-01  0.133382E-01   12.2121       2.72746       2.72483       2.59492       2.32372       1.84119       0.00000    
  0.229085E-03   60.9222       4.91207       6.92911       4.88050       6.91498      0.315683E-01  0.141365E-01   11.7955       2.63897       2.63617       2.50838       2.24153       1.77043       0.00000    
  0.251186E-03   58.5517       4.75048       6.69475       4.71713       6.67974      0.333505E-01  0.150089E-01   11.3969       2.55421       2.55122       2.42551       2.16292       1.70302       0.00000    
  0.275420E-03   56.2330       4.59203       6.46493       4.55683       6.44902      0.351981E-01  0.159165E-01   11.0059       2.47101       2.46783       2.34417       2.08582       1.63701       0.00000    
  0.301992E-03   53.9843       4.43781       6.24122       4.40067       6.22435      0.371333E-01  0.168715E-01   10.6250       2.38993       2.38655       2.26491       2.01074       1.57290       0.00000    
  0.331127E-03   51.8322       4.28947       6.02602       4.25026       6.00812      0.392054E-01  0.179010E-01   10.2584       2.31179       2.30818       2.18853       1.93848       1.51140       0.00000    
  0.363073E-03   49.7261       4.14393       5.81485       4.10259       5.79588      0.413469E-01  0.189686E-01   9.89847       2.23504       2.23120       2.11353       1.86755       1.45115       0.00000    
  0.398101E-03   47.7055       4.00366       5.61126       3.96003       5.59115      0.436248E-01  0.201112E-01   9.55118       2.16091       2.15683       2.04109       1.79913       1.39323       0.00000    
  0.436509E-03   45.7528       3.86759       5.41370       3.82156       5.39238      0.460243E-01  0.213212E-01   9.21394       2.08886       2.08452       1.97069       1.73270       1.33716       0.00000    
