 First iteration    1392.4273266761081             1130   1.2322365722797417     
After minimisation    1360.92  1130     1.204

  Partial chi2s 
Dataset    1    452.51   377  HERA1+2 NCep 920                                
Dataset    2     67.33    70  HERA1+2 NCep 820                                
Dataset    3    229.52   254  HERA1+2 NCep 575                                
Dataset    4    221.46   204  HERA1+2 NCep 460                                
Dataset    5    211.98   159  HERA1+2 NCem                                    
Dataset    6     46.22    39  HERA1+2 CCep                                    
Dataset    7     47.75    42  HERA1+2 CCem                                    

 Correlated Chi2    84.150284530772822     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   84  sysHZComb1084                          0.2196   +/-   0.9671        :N:M:D
   85  sysHZComb1085                         -0.0506   +/-   0.8674        :N:M:D
   86  sysHZComb1086                         -0.0980   +/-   0.7913        :N:M:D
   87  sysHZComb1087                         -0.5138   +/-   0.8576        :N:M:D
   88  sysHZComb1088                          0.2106   +/-   0.9909        :N:M:D
   89  sysHZComb1089                         -0.1067   +/-   0.9608        :N:M:D
   90  sysHZComb1090                          0.5635   +/-   0.9423        :N:M:D
   91  sysHZComb1091                          0.6416   +/-   0.8864        :N:M:D
   92  sysHZComb1092                          0.5479   +/-   0.8091        :N:M:D
   93  sysHZComb1093                          0.2089   +/-   0.7891        :N:M:D
   94  sysHZComb1094                          0.0630   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.3992   +/-   0.8440        :N:M:D
   96  sysHZComb1096                          0.3932   +/-   0.8931        :N:M:D
   97  sysHZComb1097                          0.3220   +/-   0.9880        :N:M:D
   98  sysHZComb1098                          1.3489   +/-   0.7328        :N:M:D
   99  sysHZComb1099                         -1.1829   +/-   0.6815        :N:M:D
  100  sysHZComb1100                         -0.7563   +/-   0.6867        :N:M:D
  101  sysHZComb1101                         -0.7006   +/-   0.7700        :N:M:D
  102  sysHZComb1102                         -0.5488   +/-   0.9012        :N:M:D
  103  sysHZComb1103                          0.5106   +/-   0.7898        :N:M:D
  104  sysHZComb1104                         -1.3805   +/-   0.7935        :N:M:D
  105  sysHZComb1105                          1.2717   +/-   0.6935        :N:M:D
  106  sysHZComb1106                         -0.5271   +/-   0.7726        :N:M:D
  107  sysHZComb1107                          0.5151   +/-   0.7423        :N:M:D
  108  sysHZComb1108                          1.3078   +/-   0.6774        :N:M:D
  109  sysHZComb1109                          0.3465   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.7808   +/-   0.7018        :N:M:D
  111  sysHZComb1111                         -1.6351   +/-   0.5512        :N:M:D
  112  sysHZComb1112                          0.4427   +/-   0.9904        :N:M:D
  113  sysHZComb1113                          1.3307   +/-   0.8438        :N:M:D
  114  sysHZComb1114                          1.8471   +/-   0.8061        :N:M:D
  115  sysHZComb1115                          0.8585   +/-   0.7565        :N:M:D
  116  sysHZComb1116                          0.6403   +/-   0.7722        :N:M:D
  117  sysHZComb1117                          1.1004   +/-   0.8153        :N:M:D
  118  sysHZComb1118                         -0.1828   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.5318   +/-   0.9747        :N:M:D
  120  sysHZComb1120                          0.4387   +/-   0.8530        :N:M:D
  121  sysHZComb1121                          0.3634   +/-   0.9900        :N:M:D
  122  sysHZComb1122                          0.2691   +/-   0.9339        :N:M:D
  123  sysHZComb1123                         -0.3710   +/-   0.9281        :N:M:D
  124  sysHZComb1124                         -0.9372   +/-   0.8632        :N:M:D
  125  sysHZComb1125                          0.7196   +/-   0.8806        :N:M:D
  126  sysHZComb1126                         -0.1355   +/-   0.9157        :N:M:D
  127  sysHZComb1127                         -0.2286   +/-   0.9233        :N:M:D
  128  sysHZComb1128                         -0.1903   +/-   0.9553        :N:M:D
  129  sysHZComb1129                          0.3121   +/-   0.8566        :N:M:D
  130  sysHZComb1130                          0.2935   +/-   0.8051        :N:M:D
  131  sysHZComb1131                         -0.6309   +/-   0.7900        :N:M:D
  132  sysHZComb1132                         -0.4835   +/-   0.7897        :N:M:D
  133  sysHZComb1133                          0.5699   +/-   0.8210        :N:M:D
  134  sysHZComb1134                          0.2870   +/-   0.9787        :N:M:D
  135  sysHZComb1135                         -0.9857   +/-   0.8176        :N:M:D
  136  sysHZComb1136                          0.3242   +/-   0.8770        :N:M:D
  137  sysHZComb1137                         -0.3128   +/-   0.8840        :N:M:D
  138  sysHZComb1138                          0.5532   +/-   0.9197        :N:M:D
  139  sysHZComb1139                         -0.7363   +/-   0.9426        :N:M:D
  140  sysHZComb1140                         -0.1322   +/-   0.9577        :N:M:D
  141  sysHZComb1141                         -0.1769   +/-   0.9711        :N:M:D
  142  sysHZComb1142                          1.0578   +/-   0.8613        :N:M:D
  143  sysHZComb1143                          0.4060   +/-   0.8555        :N:M:D
  144  sysHZComb1144                          1.6483   +/-   0.8407        :N:M:D
  145  sysHZComb1145                          0.3802   +/-   0.9862        :N:M:D
  146  sysHZComb1146                          0.2609   +/-   0.9897        :N:M:D
  147  sysHZComb1147                          0.8576   +/-   0.8032        :N:M:D
  148  sysHZComb1148                         -0.5226   +/-   0.7927        :N:M:D
  149  sysHZComb1149                          0.6159   +/-   0.7681        :N:M:D
  150  sysHZComb1150                         -0.5715   +/-   0.7868        :N:M:D
  151  sysHZComb1151                          0.1750   +/-   0.9634        :N:M:D
  152  sysHZComb1152                          0.8507   +/-   0.7337        :N:M:D
  153  sysHZComb1153                         -1.5581   +/-   0.8341        :N:M:D
  154  sysHZComb1154                         -0.0574   +/-   0.8102        :N:M:D
  155  sysHZComb1155                          1.1140   +/-   0.8139        :N:M:D
