   100.000000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   37.2571       2.95786       3.88484       2.94407       3.87929      0.137829E-01  0.555450E-02   6.82336       1.71223       1.71118       1.55562       1.23185      0.612489       0.00000    
  0.109648E-03   36.2594       2.88808       3.79106       2.87350       3.78515      0.145878E-01  0.591087E-02   6.65865       1.67320       1.67208       1.51900       1.20030      0.594074       0.00000    
  0.120226E-03   35.2933       2.82036       3.70004       2.80489       3.69374      0.154680E-01  0.630418E-02   6.49863       1.63524       1.63404       1.48339       1.16965      0.576310       0.00000    
  0.131825E-03   34.3401       2.75346       3.61015       2.73708       3.60343      0.163823E-01  0.671438E-02   6.34051       1.59772       1.59643       1.44819       1.13936      0.558810       0.00000    
  0.144543E-03   33.4052       2.68775       3.52185       2.67041       3.51470      0.173453E-01  0.714874E-02   6.18511       1.56082       1.55945       1.41357       1.10958      0.541685       0.00000    
  0.158489E-03   32.4952       2.62367       3.43573       2.60529       3.42811      0.183818E-01  0.761992E-02   6.03340       1.52477       1.52330       1.37975       1.08052      0.525068       0.00000    
  0.173779E-03   31.5972       2.56039       3.35068       2.54093       3.34256      0.194565E-01  0.811032E-02   5.88350       1.48914       1.48756       1.34631       1.05179      0.508698       0.00000    
  0.190545E-03   30.7225       2.49864       3.26766       2.47803       3.25902      0.206083E-01  0.863967E-02   5.73706       1.45430       1.45261       1.31361       1.02373      0.492803       0.00000    
  0.208928E-03   29.8658       2.43809       3.18624       2.41626       3.17704      0.218266E-01  0.920303E-02   5.59330       1.42008       1.41827       1.28150      0.996188      0.477273       0.00000    
  0.229085E-03   29.0208       2.37832       3.10585       2.35523       3.09606      0.230883E-01  0.978860E-02   5.45129       1.38626       1.38432       1.24976      0.968976      0.461980       0.00000    
  0.251186E-03   28.2034       2.32041       3.02790       2.29594       3.01747      0.244641E-01  0.104330E-01   5.31341       1.35339       1.35131       1.21891      0.942558      0.447247       0.00000    
  0.275420E-03   27.3978       2.26330       2.95100       2.23740       2.93989      0.258941E-01  0.111057E-01   5.17729       1.32092       1.31871       1.18843      0.916479      0.432753       0.00000    
  0.301992E-03   26.6080       2.20726       2.87550       2.17986       2.86369      0.273970E-01  0.118164E-01   5.04355       1.28901       1.28664       1.15847      0.890856      0.418577       0.00000    
  0.331127E-03   25.8405       2.15276       2.80200       2.12375       2.78941      0.290145E-01  0.125876E-01   4.91316       1.25787       1.25533       1.12923      0.865878      0.404852       0.00000    
  0.363073E-03   25.0837       2.09900       2.72945       2.06831       2.71606      0.306906E-01  0.133897E-01   4.78437       1.22710       1.22439       1.10034      0.841210      0.391341       0.00000    
  0.398101E-03   24.3470       2.04664       2.65871       2.01416       2.64446      0.324819E-01  0.142533E-01   4.65862       1.19703       1.19413       1.07209      0.817125      0.378235       0.00000    
  0.436509E-03   23.6266       1.99542       2.58943       1.96105       2.57426      0.343770E-01  0.151727E-01   4.53531       1.16753       1.16443       1.04438      0.793514      0.365454       0.00000    
  0.478622E-03   22.9164       1.94493       2.52108       1.90860       2.50495      0.363383E-01  0.161278E-01   4.41355       1.13839       1.13508       1.01699      0.770202      0.352878       0.00000    
  0.524798E-03   22.2302       1.89615       2.45489       1.85768       2.43772      0.384698E-01  0.171754E-01   4.29540       1.11009       1.10655      0.990388      0.747590      0.340780       0.00000    
  0.575429E-03   21.5546       1.84815       2.38968       1.80746       2.37141      0.406862E-01  0.182697E-01   4.17887       1.08217       1.07838      0.964132      0.725291      0.328895       0.00000    
