 First iteration    1361.7371144972694             1130   1.2050770924754597     
After minimisation    1360.06  1130     1.204

  Partial chi2s 
Dataset    1    457.57   377  HERA1+2 NCep 920                                
Dataset    2     68.13    70  HERA1+2 NCep 820                                
Dataset    3    229.66   254  HERA1+2 NCep 575                                
Dataset    4    222.14   204  HERA1+2 NCep 460                                
Dataset    5    204.42   159  HERA1+2 NCem                                    
Dataset    6     44.58    39  HERA1+2 CCep                                    
Dataset    7     46.25    42  HERA1+2 CCem                                    

 Correlated Chi2    87.313559777451800     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error          Type
   84  sysHZComb1084                          0.2689   +/-   0.9671        :N:M:D
   85  sysHZComb1085                          0.0523   +/-   0.8667        :N:M:D
   86  sysHZComb1086                         -0.2857   +/-   0.7898        :N:M:D
   87  sysHZComb1087                         -0.4362   +/-   0.8570        :N:M:D
   88  sysHZComb1088                          0.1988   +/-   0.9909        :N:M:D
   89  sysHZComb1089                         -0.2168   +/-   0.9605        :N:M:D
   90  sysHZComb1090                          0.4495   +/-   0.9419        :N:M:D
   91  sysHZComb1091                          0.5661   +/-   0.8856        :N:M:D
   92  sysHZComb1092                          0.5913   +/-   0.8080        :N:M:D
   93  sysHZComb1093                          0.1189   +/-   0.7880        :N:M:D
   94  sysHZComb1094                          0.0637   +/-   0.9992        :N:M:D
   95  sysHZComb1095                         -0.2248   +/-   0.8426        :N:M:D
   96  sysHZComb1096                          0.1809   +/-   0.8926        :N:M:D
   97  sysHZComb1097                          0.3679   +/-   0.9879        :N:M:D
   98  sysHZComb1098                          1.3057   +/-   0.7319        :N:M:D
   99  sysHZComb1099                         -1.1840   +/-   0.6804        :N:M:D
  100  sysHZComb1100                         -0.7695   +/-   0.6854        :N:M:D
  101  sysHZComb1101                         -0.7437   +/-   0.7689        :N:M:D
  102  sysHZComb1102                         -0.4503   +/-   0.9008        :N:M:D
  103  sysHZComb1103                          0.3964   +/-   0.7890        :N:M:D
  104  sysHZComb1104                         -1.3632   +/-   0.7923        :N:M:D
  105  sysHZComb1105                          1.3050   +/-   0.6919        :N:M:D
  106  sysHZComb1106                         -0.4532   +/-   0.7711        :N:M:D
  107  sysHZComb1107                          0.4858   +/-   0.7404        :N:M:D
  108  sysHZComb1108                          1.3528   +/-   0.6758        :N:M:D
  109  sysHZComb1109                          0.3462   +/-   0.9898        :N:M:D
  110  sysHZComb1110                         -0.7133   +/-   0.7004        :N:M:D
  111  sysHZComb1111                         -1.6432   +/-   0.5495        :N:M:D
  112  sysHZComb1112                          0.4733   +/-   0.9903        :N:M:D
  113  sysHZComb1113                          1.2486   +/-   0.8436        :N:M:D
  114  sysHZComb1114                          1.9667   +/-   0.8052        :N:M:D
  115  sysHZComb1115                          0.9382   +/-   0.7553        :N:M:D
  116  sysHZComb1116                          0.6533   +/-   0.7710        :N:M:D
  117  sysHZComb1117                          0.9866   +/-   0.8163        :N:M:D
  118  sysHZComb1118                         -0.1875   +/-   0.9966        :N:M:D
  119  sysHZComb1119                          0.5324   +/-   0.9746        :N:M:D
  120  sysHZComb1120                          0.6046   +/-   0.8534        :N:M:D
  121  sysHZComb1121                          0.3644   +/-   0.9899        :N:M:D
  122  sysHZComb1122                          0.0777   +/-   0.9336        :N:M:D
  123  sysHZComb1123                         -0.1789   +/-   0.9273        :N:M:D
  124  sysHZComb1124                         -1.0926   +/-   0.8624        :N:M:D
  125  sysHZComb1125                          0.7700   +/-   0.8812        :N:M:D
  126  sysHZComb1126                         -0.1378   +/-   0.9149        :N:M:D
  127  sysHZComb1127                         -0.3416   +/-   0.9228        :N:M:D
  128  sysHZComb1128                         -0.1686   +/-   0.9550        :N:M:D
  129  sysHZComb1129                          0.2302   +/-   0.8562        :N:M:D
  130  sysHZComb1130                          0.2556   +/-   0.8041        :N:M:D
  131  sysHZComb1131                         -0.5871   +/-   0.7891        :N:M:D
  132  sysHZComb1132                         -0.6223   +/-   0.7885        :N:M:D
  133  sysHZComb1133                          0.7736   +/-   0.8201        :N:M:D
  134  sysHZComb1134                          0.3236   +/-   0.9786        :N:M:D
  135  sysHZComb1135                         -1.2536   +/-   0.8170        :N:M:D
  136  sysHZComb1136                          0.2514   +/-   0.8764        :N:M:D
  137  sysHZComb1137                         -0.2643   +/-   0.8833        :N:M:D
  138  sysHZComb1138                          0.4124   +/-   0.9193        :N:M:D
  139  sysHZComb1139                         -0.8151   +/-   0.9421        :N:M:D
  140  sysHZComb1140                         -0.0387   +/-   0.9575        :N:M:D
  141  sysHZComb1141                         -0.1833   +/-   0.9708        :N:M:D
  142  sysHZComb1142                          1.1041   +/-   0.8611        :N:M:D
  143  sysHZComb1143                          0.6228   +/-   0.8553        :N:M:D
  144  sysHZComb1144                          1.7264   +/-   0.8396        :N:M:D
  145  sysHZComb1145                          0.3761   +/-   0.9860        :N:M:D
  146  sysHZComb1146                          0.2626   +/-   0.9896        :N:M:D
  147  sysHZComb1147                          0.8536   +/-   0.8016        :N:M:D
  148  sysHZComb1148                         -0.4847   +/-   0.7914        :N:M:D
  149  sysHZComb1149                          0.4966   +/-   0.7690        :N:M:D
  150  sysHZComb1150                         -0.2924   +/-   0.7857        :N:M:D
  151  sysHZComb1151                          0.1802   +/-   0.9631        :N:M:D
  152  sysHZComb1152                          0.9055   +/-   0.7326        :N:M:D
  153  sysHZComb1153                         -1.3957   +/-   0.8330        :N:M:D
  154  sysHZComb1154                         -0.1699   +/-   0.8091        :N:M:D
  155  sysHZComb1155                          1.0538   +/-   0.8127        :N:M:D
  156  sysHZComb1156                          0.1134   +/-   0.9147        :N:M:D
  157  sysHZComb1157                          1.4003   +/-   0.7252        :N:M:D
  158  sysHZComb1158                          0.1203   +/-   0.7980        :N:M:D
  159  sysHZComb1159                         -0.0320   +/-   1.0000        :N:M:D
  160  sysHZComb1160                         -0.0135   +/-   0.8813        :N:M:D
  161  sysHZComb1161                          0.7797   +/-   0.8406        :N:M:D
  162  sysHZComb1162                          0.7156   +/-   0.8874        :N:M:D
  163  proc_nrl                               0.1839   +/-   0.3872        :N:M:D
  164  proc_tb21                             -2.5887   +/-   0.6687        :N:M:D
  165  proc_tb22                             -1.5063   +/-   0.3044        :N:M:D
  166  proc_tb23                             -0.3665   +/-   0.4341        :N:M:D
  167  proc_tb24                             -0.6381   +/-   0.4081        :N:M:D
  168  proc_gp                                0.0321   +/-   0.4516        :N:M:D
  169  proc_had                               0.7695   +/-   0.5355        :N:M:D
