   6464.00000             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   83.6321       6.39733       9.07443       6.37970       9.06686      0.176252E-01  0.757056E-02   15.4466       3.41977       3.41845       3.26972       2.95993       2.37869       0.00000    
  0.109648E-03   80.5461       6.19441       8.78036       6.17578       8.77232      0.186378E-01  0.804050E-02   14.9481       3.31421       3.31280       3.16646       2.86156       2.29305       0.00000    
  0.120226E-03   77.6078       6.00009       8.49885       5.98035       8.49029      0.197424E-01  0.855703E-02   14.4706       3.21299       3.21148       3.06748       2.76736       2.21133       0.00000    
  0.131825E-03   74.7283       5.80921       8.22235       5.78833       8.21326      0.208884E-01  0.909474E-02   14.0016       3.11350       3.11189       2.97020       2.67482       2.13116       0.00000    
  0.144543E-03   71.9329       5.62326       7.95305       5.60117       7.94338      0.220938E-01  0.966275E-02   13.5445       3.01650       3.01478       2.87537       2.58467       2.05322       0.00000    
  0.158489E-03   69.2492       5.44388       7.69331       5.42049       7.68304      0.233883E-01  0.102767E-01   13.1035       2.92281       2.92098       2.78380       2.49768       1.97826       0.00000    
  0.173779E-03   66.6194       5.26769       7.43823       5.24296       7.42731      0.247290E-01  0.109145E-01   12.6703       2.83072       2.82877       2.69381       2.41224       1.90473       0.00000    
  0.190545E-03   64.0926       5.09760       7.19201       5.07144       7.18041      0.261626E-01  0.116006E-01   12.2518       2.74170       2.73962       2.60684       2.32974       1.83395       0.00000    
  0.208928E-03   61.6440       4.93218       6.95256       4.90450       6.94023      0.276761E-01  0.123286E-01   11.8447       2.65503       2.65281       2.52217       2.24947       1.76526       0.00000    
  0.229085E-03   59.2460       4.76978       6.71750       4.74054       6.70441      0.292419E-01  0.130839E-01   11.4449       2.56987       2.56751       2.43899       2.17067       1.69792       0.00000    
  0.251186E-03   56.9660       4.61447       6.49270       4.58352       6.47879      0.309439E-01  0.139113E-01   11.0623       2.48826       2.48574       2.35930       2.09526       1.63374       0.00000    
  0.275420E-03   54.7354       4.46214       6.27222       4.42943       6.25745      0.327104E-01  0.147731E-01   10.6869       2.40815       2.40547       2.28108       2.02128       1.57089       0.00000    
  0.301992E-03   52.5711       4.31384       6.05754       4.27927       6.04186      0.345636E-01  0.156811E-01   10.3211       2.33005       2.32719       2.20484       1.94922       1.50983       0.00000    
  0.331127E-03   50.4988       4.17114       5.85094       4.13459       5.83428      0.365524E-01  0.166621E-01   9.96887       2.25475       2.25170       2.13134       1.87984       1.45124       0.00000    
  0.363073E-03   48.4701       4.03112       5.64819       3.99251       5.63051      0.386102E-01  0.176804E-01   9.62301       2.18077       2.17754       2.05915       1.81173       1.39382       0.00000    
  0.398101E-03   46.5229       3.89610       5.45263       3.85529       5.43386      0.408035E-01  0.187722E-01   9.28915       2.10929       2.10585       1.98940       1.74600       1.33861       0.00000    
  0.436509E-03   44.6402       3.76508       5.26281       3.72197       5.24287      0.431181E-01  0.199306E-01   8.96484       2.03980       2.03613       1.92160       1.68217       1.28514       0.00000    
  0.478622E-03   42.7983       3.63660       5.07661       3.59109       5.05548      0.455102E-01  0.211313E-01   8.64657       1.97156       1.96767       1.85503       1.61953       1.23278       0.00000    
  0.524798E-03   41.0498       3.51396       4.89875       3.46586       4.87631      0.480999E-01  0.224414E-01   8.34217       1.90621       1.90207       1.79129       1.55965       1.18295       0.00000    
  0.575429E-03   39.3424       3.39392       4.72459       3.34313       4.70078      0.507876E-01  0.238061E-01   8.04392       1.84214       1.83774       1.72880       1.50099       1.13425       0.00000    
  0.630945E-03   37.6869       3.27715       4.55509       3.22355       4.52985      0.535988E-01  0.252398E-01   7.75340       1.77969       1.77501       1.66789       1.44386       1.08695       0.00000    
  0.691816E-03   36.1065       3.16517       4.39238       3.10856       4.36559      0.566114E-01  0.267869E-01   7.47415       1.71958       1.71461       1.60928       1.38898       1.04170       0.00000    
  0.758561E-03   34.5610       3.05543       4.23283       2.99570       4.20444      0.597243E-01  0.283908E-01   7.20014       1.66057       1.65529       1.55174       1.33513      0.997409       0.00000    
  0.831745E-03   33.0793       2.94980       4.07909       2.88677       4.04899      0.630296E-01  0.301042E-01   6.93576       1.60357       1.59797       1.49616       1.28320      0.954861       0.00000    
  0.911989E-03   31.6506       2.84762       3.93019       2.78110       3.89827      0.665136E-01  0.319202E-01   6.67937       1.54824       1.54229       1.44221       1.23286      0.913763       0.00000    
  0.999975E-03   30.2543       2.74755       3.78426       2.67744       3.75046      0.701091E-01  0.338004E-01   6.42791       1.49394       1.48764       1.38927       1.18350      0.873557       0.00000    
  0.109645E-02   28.9313       2.65232       3.64509       2.57833       3.60925      0.739822E-01  0.358415E-01   6.18759       1.44197       1.43528       1.33860       1.13636      0.835367       0.00000    
  0.120223E-02   27.6422       2.55933       3.50906       2.48134       3.47110      0.779988E-01  0.379667E-01   5.95243       1.39109       1.38400       1.28899       1.09024      0.798110       0.00000    
  0.131822E-02   26.3933       2.46903       3.37676       2.38685       3.33657      0.821854E-01  0.401916E-01   5.72341       1.34149       1.33398       1.24063       1.04535      0.761959       0.00000    
  0.144540E-02   25.2051       2.38283       3.25013       2.29617       3.20754      0.866596E-01  0.425866E-01   5.50371       1.29385       1.28589       1.19417       1.00231      0.727488       0.00000    
  0.158485E-02   24.0445       2.29850       3.12609       2.20723       3.08103      0.912740E-01  0.450652E-01   5.28826       1.24710       1.23868       1.14857      0.960125      0.693781       0.00000    
  0.173775E-02   22.9335       2.21757       3.00673       2.12142       2.95903      0.961500E-01  0.477003E-01   5.08044       1.20196       1.19304       1.10454      0.919459      0.661449       0.00000    
  0.190540E-02   21.8653       2.13960       2.89142       2.03832       2.84093      0.101277      0.504871E-01   4.87925       1.15820       1.14877       1.06186      0.880115      0.630306       0.00000    
  0.208923E-02   20.8228       2.06341       2.77855       1.95685       2.72518      0.106557      0.533667E-01   4.68203       1.11529       1.10532       1.01998      0.841565      0.599877       0.00000    
  0.229079E-02   19.8371       1.99123       2.67112       1.87902       2.61464      0.112208      0.564725E-01   4.49366       1.07424       1.06369      0.979916      0.804782      0.571035       0.00000    
  0.251180E-02   18.8790       1.92101       2.56634       1.80295       2.50664      0.118056      0.597006E-01   4.30959       1.03409       1.02296      0.940726      0.768861      0.542963       0.00000    
  0.275413E-02   17.9516       1.85298       2.46453       1.72885       2.40147      0.124126      0.630653E-01   4.13032      0.994952      0.983205      0.902514      0.733899      0.515750       0.00000    
